ToolName;ModelName;Strength;TimeSeconds;Size;ErrorType;;;;
kali;MCAC_5;2;93.12;3696;;;;;
kali;MCAC_6;2;12.42;185;;;;;
kali;MCAC_7;2;2.4;21;;;;;
kali;MCAC_8;2;6.18;35;;;;;
kali;MCAC_9;2;29.09;2229;;;;;
kali;MCA_0;2;2.62;115;;;;;
kali;MCA_1;2;1.97;4;;;;;
kali;MCA_10;2;34.86;2568;;;;;
kali;MCA_11;2;30.95;2429;;;;;
kali;MCA_12;2;49.92;3017;;;;;
kali;MCA_13;2;55.61;2940;;;;;
kali;MCA_14;2;18.09;1659;;;;;
kali;MCA_15;2;81.21;3592;;;;;
kali;MCA_16;2;2.07;6;;;;;
kali;MCA_17;2;5.62;563;;;;;
kali;MCA_18;2;2.21;46;;;;;
kali;MCA_19;2;52.5;2545;;;;;
kali;MCA_2;2;2.73;94;;;;;
kali;MCA_20;2;29.26;2374;;;;;
kali;MCA_21;2;71.68;3027;;;;;
kali;MCA_22;2;2.34;120;;;;;
kali;MCA_23;2;8.5;940;;;;;
kali;MCA_24;2;66.66;2643;;;;;
kali;MCA_25;2;38.65;2725;;;;;
kali;MCA_26;2;139.82;4669;;;;;
kali;MCA_27;2;6.88;705;;;;;
kali;MCA_28;2;16.32;1412;;;;;
kali;MCA_29;2;77.77;2938;;;;;
kali;MCA_3;2;79.31;3711;;;;;
kali;MCA_30;2;1.94;12;;;;;
kali;MCA_31;2;6.0;540;;;;;
kali;MCA_32;2;20.71;1744;;;;;
kali;MCA_33;2;2.81;205;;;;;
kali;MCA_34;2;27.07;2410;;;;;
kali;MCA_35;2;51.78;3016;;;;;
kali;MCA_36;2;32.33;2448;;;;;
kali;MCA_37;2;23.16;1697;;;;;
kali;MCA_38;2;50.24;3017;;;;;
kali;MCA_39;2;3.49;222;;;;;
kali;MCA_4;2;27.69;1786;;;;;
kali;MCA_40;2;3.23;121;;;;;
kali;MCA_41;2;62.27;3025;;;;;
kali;MCA_42;2;17.1;1231;;;;;
kali;MCA_43;2;51.81;3095;;;;;
